FirstMissionYear,CitizenCleaned,DurationBinned,Count
1961,Russia,1 hour to 1 week,2
1961,USA,1 hour to 1 week,1
1961,USA,1 week to 50 days,1
1962,Russia,1 week to 50 days,2
1962,USA,1 hour to 1 week,1
1962,USA,1 week to 50 days,2
1962,USA,less than 1 hour,1
1963,Russia,1 hour to 1 week,1
1963,Russia,1 week to 50 days,1
1963,USA,1 week to 50 days,1
1963,USA,less than 1 hour,2
1964,Russia,1 hour to 1 week,3
1965,Russia,1 hour to 1 week,1
1965,Russia,1 week to 50 days,1
1965,USA,1 hour to 1 week,1
1965,USA,1 week to 50 days,7
1965,USA,less than 1 hour,1
1966,USA,1 week to 50 days,6
1966,USA,less than 1 hour,1
1967,USA,less than 1 hour,2
1968,Russia,1 hour to 1 week,1
1968,USA,1 hour to 1 week,1
1968,USA,1 week to 50 days,2
1969,Russia,1 hour to 1 week,2
1969,Russia,1 week to 50 days,6
1969,Russia,50 days to 1 year,1
1969,USA,1 week to 50 days,1
1969,USA,50 days to 1 year,1
1970,Russia,50 days to 1 year,1
1970,USA,1 hour to 1 week,2
1971,Other,1 week to 50 days,1
1971,Russia,1 week to 50 days,2
1971,USA,1 week to 50 days,4
1972,USA,1 week to 50 days,4
1973,Russia,1 hour to 1 week,1
1973,Russia,1 week to 50 days,1
1973,Russia,50 days to 1 year,2
1973,USA,1 week to 50 days,2
1973,USA,50 days to 1 year,5
1974,Russia,1 hour to 1 week,2
1974,Russia,1 week to 50 days,1
1975,Russia,1 week to 50 days,1
1975,Russia,50 days to 1 year,1
1975,USA,1 week to 50 days,2
1976,Other,1 week to 50 days,1
1976,Russia,1 hour to 1 week,2
1976,Russia,1 week to 50 days,1
1977,Russia,1 week to 50 days,1
1977,Russia,50 days to 1 year,1
1977,Russia,more than 1 year,2
1978,Other,1 week to 50 days,3
1978,Russia,50 days to 1 year,2
1979,Other,1 hour to 1 week,1
1979,Russia,50 days to 1 year,1
1980,Other,1 week to 50 days,3
1980,Russia,1 week to 50 days,1
1980,Russia,50 days to 1 year,2
1980,Russia,more than 1 year,1
1981,Other,1 week to 50 days,2
1981,Russia,50 days to 1 year,1
1981,USA,1 week to 50 days,2
1982,Other,1 week to 50 days,1
1982,Russia,1 week to 50 days,1
1982,Russia,50 days to 1 year,1
1982,Russia,more than 1 year,1
1982,USA,1 hour to 1 week,1
1982,USA,1 week to 50 days,4
1983,Other,1 week to 50 days,1
1983,Russia,50 days to 1 year,1
1983,Russia,more than 1 year,1
1983,USA,1 hour to 1 week,1
1983,USA,1 week to 50 days,11
1983,USA,50 days to 1 year,2
1984,Other,1 week to 50 days,2
1984,Russia,1 week to 50 days,1
1984,Russia,50 days to 1 year,2
1984,USA,1 hour to 1 week,3
1984,USA,1 week to 50 days,16
1985,Other,1 hour to 1 week,1
1985,Other,1 week to 50 days,5
1985,Russia,50 days to 1 year,1
1985,Russia,more than 1 year,1
1985,USA,1 hour to 1 week,6
1985,USA,1 week to 50 days,22
1985,USA,50 days to 1 year,4
1986,USA,1 hour to 1 week,2
1986,USA,1 week to 50 days,1
1986,USA,50 days to 1 year,1
1987,Other,1 week to 50 days,1
1987,Russia,1 week to 50 days,1
1987,Russia,50 days to 1 year,1
1987,Russia,more than 1 year,2
1988,Other,1 week to 50 days,2
1988,Russia,more than 1 year,3
