FirstMissionYear,Gender,Count
1961,Male,4
1962,Male,6
1963,Female,1
1963,Male,4
1964,Male,3
1965,Male,11
1966,Male,7
1967,Male,2
1968,Male,4
1969,Male,11
1970,Male,3
1971,Male,7
1972,Male,4
1973,Male,11
1974,Male,3
1975,Male,4
1976,Male,4
1977,Male,4
1978,Male,5
1979,Male,2
1980,Male,7
1981,Male,5
1982,Female,1
1982,Male,8
1983,Female,1
1983,Male,16
1984,Female,3
1984,Male,21
1985,Female,4
1985,Male,36
1986,Male,4
1987,Male,5
1988,Male,7
1989,Female,2
1989,Male,9
1990,Female,1
1990,Male,16
1991,Female,4
1991,Male,18
1992,Female,3
1992,Male,20
1993,Female,4
1993,Male,16
1994,Female,2
1994,Male,14
1995,Female,4
1995,Male,13
1996,Female,1
1996,Male,14
1997,Female,2
1997,Male,14
1998,Female,2
1998,Male,14
1999,Female,1
1999,Male,5
2000,Female,1
2000,Male,6
2001,Male,12
2002,Female,2
2002,Male,15
2003,Female,1
2003,Male,4
2004,Male,5
2005,Male,5
2006,Female,6
2006,Male,6
2007,Female,2
2007,Male,11
2008,Female,2
2008,Male,20
2009,Female,2
2009,Male,20
2010,Female,3
2010,Male,6
2011,Male,5
2012,Female,1
2012,Male,4
2013,Female,1
2013,Male,5
2014,Female,2
2014,Male,3
2015,Male,5
2016,Female,1
2016,Male,5
2017,Male,4
2018,Female,2
2018,Male,4
2019,Female,2
2019,Male,4
2020,Male,2
2021,Female,8
2021,Male,22
2021,Unknown,1
2022,Female,7
2022,Male,25
2023,Female,10
2023,Male,22
2024,Female,10
2024,Male,29
2025,Female,14
2025,Male,42
2026,Female,1
2026,Male,6
